Customer ID,Twitter hashtags,Social groups/likes,Social Post/month,SM check Inns/Month,Habits and Interest,Travel frequency/month
1,Financial issues,Sports,0,3,Smoker,0
2,,Financial issues,5,0,,5
3,Criminal,,1,0,Outdoor Activities,1
4,,Criminal,4,0,,4
5,,,8,5,,8
6,Mental health,,23,1,,23
7,,Mental health,24,4,Alchohol Abuse,24
8,sports,,16,8,,16
9,,,85,23,Travelling,85
10,Health Issue,,0,0,Sports,0
11,,Health Issue,0,16,,0
12,,,0,0,,0
13,,,2,0,Gambling,2
14,,,4,0,,4
15,Terriost activity,,8,0,,8
16,,Terriost activity,9,2,Books,9
17,,,45,4,Travelling,45
18,,,2,8,shopoholic,2
19,spritual,spritual,4,9,,4
20,Financial issues,,3,45,,3
21,Financial issues,,78,2,Travelling,78
22,,,1,4,,1
23,Criminal,,1,3,,1
24,,Sports,8,78,Charity,8
25,,Financial issues,0,1,,0
26,Mental health,,5,1,,5
27,,Criminal,7,8,Online Gaming,7
28,,,23,0,,23
29,,,,5,,
30,Health Issue,Mental health,,7,,
31,,,0,23,Smoker,0
32,,,5,,,5
33,,,1,,Outdoor Activities,1
34,,Health Issue,4,0,,4
35,Terriost activity,,8,5,,8
36,,,23,1,,23
37,,,24,4,Alchohol Abuse,24
38,,,16,8,,16
39,,Terriost activity,85,23,Travelling,85
40,,,0,24,Sports,0
41,Financial issues,,0,16,,0
42,,spritual,0,85,,0
43,Criminal,,2,0,Gambling,2
44,,,4,0,,4
45,,,8,0,,8
46,Mental health,,9,2,Books,9
47,,Sports,45,4,Travelling,45
48,,Financial issues,2,8,shopoholic,2
49,,,4,9,,4
50,Health Issue,Criminal,3,45,,3
51,,,78,2,Travelling,78
52,,Sports,1,4,,1
53,,Financial issues,1,3,,1
54,,,8,78,Charity,8
55,Terriost activity,Criminal,0,1,,0
56,,,5,1,,5
57,,,7,8,Online Gaming,7
58,,Mental health,23,0,,23
59,,,,5,,
60,,,0,7,Smoker,0
61,Financial issues,,5,23,,5
62,,Health Issue,1,,Outdoor Activities,1
63,Criminal,,4,0,,4
64,,,8,5,,8
65,,,23,1,,23
66,Mental health,,24,4,Alchohol Abuse,24
67,,Terriost activity,16,8,,16
68,,,85,23,Travelling,85
69,,,0,24,Sports,0
70,Health Issue,spritual,0,16,,0
71,,,0,85,,0
72,,,2,0,Gambling,2
73,,,4,0,,4
74,,,8,0,,8
75,Terriost activity,Sports,9,2,Books,9
76,,Financial issues,45,4,Travelling,45
77,,,2,8,shopoholic,2
78,,Criminal,4,9,,4
79,,,3,45,,3
80,,,78,2,Travelling,78
81,Financial issues,Mental health,1,4,,1
82,,,1,3,,1
83,Criminal,,8,78,Charity,8
84,,,0,1,,0
85,,Health Issue,5,1,,5
86,Mental health,,7,8,Online Gaming,7
87,,,23,0,,23
88,,,0,5,Smoker,0
89,,,5,7,,5
90,Health Issue,Terriost activity,1,23,Outdoor Activities,1
91,,,4,0,,4
92,,,8,5,,8
93,,spritual,23,1,,23
94,,,24,4,Alchohol Abuse,24
95,Terriost activity,,16,8,,16
96,,,85,23,Travelling,85
97,,,0,24,Sports,0
