customer_id,Education,EducationField,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,Achievement,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,MaritalStatus,DailySteps(*1000),SleepHours,DailyShouting,TimeForPassion,PlacesVisited,SocialNetwork,Smoking,Alcohol
1,College,Life Sciences,Sales Executive,4,5993,3,2,8,6,4,Single,5,7,5,0,2,5,never smoked,drink a lot
2,Below College,Life Sciences,Research Scientist,2,5130,4,5,10,10,7,Married,5,8,2,2,4,10,never smoked,drink a lot
3,College,Other,Laboratory Technician,3,2090,3,3,7,0,0,Single,4,8,2,8,3,10,tried smoking,drink a lot
4,Master,Life Sciences,Research Scientist,3,2909,3,2,8,8,7,Married,5,5,5,2,10,7,former smoker,drink a lot
5,Below College,Medical,Laboratory Technician,2,3468,3,2,6,2,2,Married,5,7,0,1,3,4,tried smoking,social drinker
6,College,Life Sciences,Laboratory Technician,4,3068,3,2,8,7,7,Single,7,8,2,8,3,10,never smoked,never
7,Bachelor,Medical,Laboratory Technician,1,2670,4,3,12,1,0,Married,7,7,0,8,10,10,tried smoking,social drinker
8,Below College,Life Sciences,Laboratory Technician,3,2693,4,4,1,1,0,Divorced,8,6,2,2,5,7,current smoker,drink a lot
9,Bachelor,Life Sciences,Manufacturing Director,3,9526,4,5,10,9,7,Single,1,10,2,3,6,3,tried smoking,social drinker
10,Bachelor,Medical,Healthcare Representative,3,5237,3,0,17,7,7,Married,3,6,0,8,2,10,never smoked,drink a lot
11,Bachelor,Medical,Laboratory Technician,2,2426,3,3,6,5,4,Married,7,8,3,0,7,1,current smoker,social drinker
12,College,Life Sciences,Laboratory Technician,3,4193,3,1,10,9,5,Single,8,7,1,1,3,2,tried smoking,never
13,Below College,Life Sciences,Research Scientist,3,2911,3,3,5,5,2,Divorced,6,8,0,2,10,8,tried smoking,social drinker
14,College,Medical,Laboratory Technician,4,2661,3,6,3,2,2,Divorced,7,6,3,6,0,6,never smoked,social drinker
15,Bachelor,Life Sciences,Laboratory Technician,3,2028,3,3,6,4,2,Single,2,8,2,5,2,5,current smoker,social drinker
16,Master,Life Sciences,Manufacturing Director,1,9980,3,2,10,10,9,Divorced,8,6,2,3,5,10,former smoker,social drinker
17,College,Life Sciences,Research Scientist,2,3298,3,4,7,6,2,Divorced,1,8,1,3,10,10,current smoker,drink a lot
18,College,Medical,Laboratory Technician,4,2935,3,0,1,1,0,Divorced,10,8,3,8,10,10,tried smoking,social drinker
19,Master,Life Sciences,Manager,4,15427,3,6,31,25,8,Married,8,9,7,4,10,5,tried smoking,social drinker
20,Bachelor,Life Sciences,Research Scientist,4,3944,3,3,6,3,2,Single,1,8,0,1,6,6,former smoker,drink a lot
21,College,Other,Manufacturing Director,3,4011,3,1,5,4,2,Divorced,4,4,3,2,3,5,never smoked,never
22,Master,Life Sciences,Sales Representative,1,3407,4,2,10,5,3,Single,3,7,7,10,5,3,tried smoking,social drinker
23,Master,Life Sciences,Research Director,2,11994,3,6,13,12,6,Single,3,7,2,6,8,10,tried smoking,social drinker
24,College,Life Sciences,Research Scientist,4,1232,3,10,0,0,0,Single,7,7,1,5,6,10,tried smoking,social drinker
25,Below College,Medical,Research Scientist,1,2960,3,6,8,4,2,Single,7,6,3,3,6,5,tried smoking,never
26,Bachelor,Other,Manager,3,19094,3,3,26,14,13,Divorced,8,7,6,1,1,5,tried smoking,social drinker
27,Below College,Life Sciences,Research Scientist,1,3919,4,1,10,10,2,Single,8,7,4,1,1,3,tried smoking,social drinker
